speaker,words,tags,,,,,,,,,,,,,,,,,,,,,
LB,I went far as the 9th grade is I didn't  graduate high school because I didn't have enough credit so I dropped out after 9th grade I dropped out of school but when I starting school in meaderville about 6 years old we had a first grade teacher named Miss sorcell and she was a  really mean teacher and sometimes during the day I would sleep in class and she put a note on my shirt and send me home and it said that I needed to go to bed early or something 'cause I sleeping in school well they never did wanna help me through school because when I got to junior high school all I done if I didn't cause any disturbing in the class or anything they would pass me onto the next grade and that's the way it went through clean-up to junior high school and one time when we was reading I didn't even know how to read in junior high when the teacher had each one of us read when they came to my turn I was scared and I was embarrassed I didn't know the teachers skip me and he told the kid behind me to read he said it's his turn he says why he says he's only here half the time so he don't know what's going on but in the first grade when the teacher had me to read and I didn't know how and she says why should he wanna learn all he's gonna do is become a miner like his dad so he don't need the education and so she never called on me for anything who really taught me about adding and subtracting was my older brother he taught me how to do that because the teacher didn't wanna take any time out to teach me so when I went to school and we had some adding I knew how to add them and all of a suddenly I got like a B on my paper and she thought I was cheating and she say how did you know that my brother taught me how to do this and after that I did good as far in adding and subtracting and that was it,education,,,,,,,,,,,,,,,,,,,,,
HO,well I'm glad you showed her,,,,,,,,,,,,,,,,,,,,,,
LB,yeah she's supposed to be our teacher and she didn't even bother you know because my dad was a miner and she figured that's all I was gonna be us minors didn't need education cuz all we done is go in the ground and get the ore out but the people don't realize miners when they go in the ground get that are out that silver and gold and copper and iron and all other kinds of minerals that the car that there driving is made out of that metal that us miners put out risk our lives for and your pens your computers all your cameras everything you can imagine do with metal miners done that and if it wasn't for the miners they wouldn't have had all this stuff like silver they use silver and cameras and they needed that silver and if they didn't have it they wouldn't have no cameras so you know that they figured miner were just trashy people you know and when I become a miner you know that was surviving trying to support my family,,,,,,,,,,,,,,,,,,,,,,
HO,yeah it's a scary job too,,,,,,,,,,,,,,,,,,,,,,
LB,at least I raised them until they were 18,,,,,,,,,,,,,,,,,,,,,,
HO,OK grandpa I have one final question for you,,,,,,,,,,,,,,,,,,,,,,
LB,Okay,,,,,,,,,,,,,,,,,,,,,,
HO,what major historical events do you remember hearing about the most during the 60s? ,news,,,,,,,,,,,,,,,,,,,,,
LB,which Harry which was that,,,,,,,,,,,,,,,,,,,,,,
HO,during the 60s a lot of it was the war in Vietnam you heard that a lot and other than that you know I didn't hear much then you know 'cause like I said we was up in the mountains so we didn't get no TV or radio so we didn't hear much of anything then what we did here was most of Vietnam or you know when we was living up there the only TV we got for my brother and I would walk to our neighbor which was about a mile from our house him and I would walk to their house watch TV there and we was all excited got to watch TV there and this is in the winter time snow was up to our knees and him and I had a light that we had we we watch tv when it was time to go home which it was dark so we walk all way back home through that snow and cold it was below 0 when we walk all the way home and you know just so we can watch TV,news,,,,,,,,,,,,,,,,,,,,,
HO,what kind of TV would you watch? ,media,,,,,,,,,,,,,,,,,,,,,
LB,it was black and white TV that they had,media,,,,,,,,,,,,,,,,,,,,,
HO,any specific show or movie,media,,,,,,,,,,,,,,,,,,,,,
LB,Yeah they had some movies on there a lot it was like western shows you know stuff like that Walt Disney them kind of shows we used to watch our neighbors used to tell us what kind of movie would be on so my brother and I we would come up there and watch it on their TV,media,,,,,,,,,,,,,,,,,,,,,
HO,Back I'm sorry grandpa,,,,,,,,,,,,,,,,,,,,,,
LB,but you know that we could've had power back there Montana pole company back there in Butte ask my dad if we wanted power back to our house and he told him no and This is why you cut all the trees out to make that line to go back to your house that would pay more than enough to put the power back there but my dad would not do it because it would interfere with buying his booze then so my poor mom I feel sorry for especially when it came to washing our clothes 'cause she used to have a tub outside two tubs one to wash the clothes in and then the old hand wringer that she crank and the clothes go through it and I'd be on the other side grabbing them putting them in that tub for her and then we was really moving up my dad bought an old washing machine and had a motor on it crank it to get it started in the winter time that snow gets under my poor mom try its paddle that you have to stand on push down and get it started am my poor mom she would do that and it's her foot would slip off and skar up her poor legs from it and cut her legs up so I try to do and use both my foot on the paddle and try to push down and I wasn't heavy enough to push down on that paddle to get it started and then finally my older brother come in and he get started for her but my dad was just mean he was mean to us kids when he is an alcoholic you know he just takes everything away from your life so us kids we just done the best we could that we had and what we known but I like the 60s like I said you know we had there's of things that we're always cheap from your groceries your gas and your cars in Butte there a lot of things were going on and you see lot of the kids playing around down there and stuff like that everybody seems happy and and it was fun then you know,media,,,,,,,,,,,,,,,,,,,,,
HO,yeah do you remember the assassination of John F Kennedy? ,assassination,,,,,,,,,,,,,,,,,,,,,
LB,Yes I do it was really sad when he got shot everybody was crying and it really upset me too that he he got shot like that you know and he to me he is such a great president to me 'cause he got everything going in United States going the right direction there was jobs all over the place inflation wasn't here they had a lot of gas wars in Butte you know at these stations and I remember my brother and I we used to go to a gas station in butte called a  community gas station and we drive in there and we put a dollar's worth of gas and that'll about fill your car up then that's how cheap the gas was and him and I after we fill up we had little money and we just in our gas station right around the corner there was a little drive in and we go to that drive in you can get a hamburger fries and a milkshake for 11 cents at that time,assasination,,,,,,,,,,,,,,,,,,,,,
HO,wow,,,,,,,,,,,,,,,,,,,,,,
LB,and that was their special that day yeah and my brother and I had a lot of fun there in Butte and we go into town sometimes you know and we go at their drive-thru there and they call it Tinkerbelle drive in and then we go up there and what you do is ask for some request slips and they give you some request slips like four of them and then you write too who from who for that song you want them to play for ya so eddie he make it out then him and I would go home and turn the radio on we lived in Butte then turn the radio on and you could hear your names over that radio said too Leroy from his brother Eddie and they would play that song and that was quite a deal for teenagers 'cause teenagers hung around those drive ins a lot and you know you drive this strip through Butte they had a route that you go through teenagers and sometimes you even race and street races and then you used to walk around they used to have like movie theaters used to only cost you a dime to go to a theater back and them days used buy a candy bar dollar forty some now and used to buy them for a nickel and it was a lot of fun back in the them days in the 60s,actvities,,,,,,,,,,,,,,,,,,,,,
HO,that's good did you and Eddie have a song you guys would play? ,music,,,,,,,,,,,,,,,,,,,,,
LB,pardon Hun,,,,,,,,,,,,,,,,,,,,,,
HO,did you and Eddie have a song you guys would play?,music,,,,,,,,,,,,,,,,,,,,,
LB,a phone,,,,,,,,,,,,,,,,,,,,,,
HO,a song when you guys would do that?,music,,,,,,,,,,,,,,,,,,,,,
LB,oh a song the songs eddie would know the songs he knew the songs I like I would tell him you know and something the one I really didn't care for was when you when you're 16 you're beautiful and you're mine and I did not like that he would play that I was so embarrassed to hear that on the radio and then when see my friends they sing that to me oh you're 16 and I was 16 at that time,music,,,,,,,,,,,,,,,,,,,,,
HO,that's funny eddie there's a prankster,,,,,,,,,,,,,,,,,,,,,,
LB,huh,,,,,,,,,,,,,,,,,,,,,,
HO,I said eddies a prankster,,,,,,,,,,,,,,,,,,,,,,
LB,yeah he was,,,,,,,,,,,,,,,,,,,,,,
HO,grandpa do you remember when MLK got assassinated? ,assassination,,,,,,,,,,,,,,,,,,,,,
LB,when what,,,,,,,,,,,,,,,,,,,,,,
HO,Martin Luther King junior,,,,,,,,,,,,,,,,,,,,,,
LB,Oh yeah he got assassinated about right after Kennedy did and they assassinated him too Butte didn't  many colored people there at the time you know but you know when Kennedy and Martin Luther King were getting together they help free the blacks from being equal in all from like now it is everyone can get jobs black and white now at these jobs but back in them days they were trying to keep from all the blacks had to go to certain bathrooms and drink out certain fountains and stuff like that and couldn't go to a white school President Kennedy and Martin Luther King they were getting together and they're working things out real good for the black and whites where they wouldn't have to do that that's the reason why I think they got rid of him because things were going pretty good with Martin Luther King and President Kennedy and I feel sorry for him you know all the black people because what was going on you know,assasination,,,,,,,,,,,,,,,,,,,,,
HO,Yeah well grandpa I think that is the end of the interview thank you so much for taking your time out of the day and talking to me,,,,,,,,,,,,,,,,,,,,,,
LB,hey you're sure welcome honey anytime,,,,,,,,,,,,,,,,,,,,,,
